Mic,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,,,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
NBC News,0.0,0.0,0.0,0.0,30.0,30.0,30.0,30.0,,,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0
NJ.com,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,,,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,70.0,70.0,70.0,70.0,70.0
NPR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,30.0,30.0,70.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0
Neue Zürcher Zeitung,,,,,,,,,,,,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0
New York Post,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,,,50.0,50.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0
Newsweek,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,75.0,75.0,75.0
Norwegian Broadcasting,,,,70.0,70.0,70.0,70.0,70.0,,,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,80.0,80.0,80.0,80.0,80.0
Onet,30.0,30.0,30.0,30.0,50.0,30.0,30.0,30.0,,,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0
People's Daily,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Politico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,50.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0
Pravda Report,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ProPublica,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,,,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
Quartz,30.0,30.0,75.0,75.0,75.0,75.0,75.0,75.0,,,75.0,75.0,75.0,75.0,75.0,75.0,75.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0
Repubblica.it,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,,,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,50.0,50.0,70.0,70.0,70.0
Reuters,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,,,50.0,50.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0
SFGate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,50.0,50.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0
Salon,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,,,50.0,70.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,70.0,70.0,70.0,70.0,70.0
Scroll.in,,,,50.0,50.0,50.0,50.0,50.0,,,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,80.0,100.0,100.0,100.0,100.0
Shanghai Daily,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sky News,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,,,30.0,50.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0
Slate Magazine,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,,,0.0,50.0,50.0,50.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,75.0,80.0
Spiegel Online,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,,,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
Stern,,,,0.0,30.0,30.0,30.0,30.0,,,30.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0
Süddeutsche.de,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,,,0.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,75.0,75.0,75.0,70.0
Taz,,,,50.0,50.0,50.0,50.0,50.0,,,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
TechCrunch,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,,,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
Techdirt,,90.0,90.0,90.0,90.0,90.0,95.0,95.0,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
The Age,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0
The Atlantic,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,,,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0
The Daily Beast,30.0,30.0,30.0,30.0,30.0,30.0,50.0,50.0,,,30.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,80.0,80.0
The Economist,50.0,30.0,50.0,50.0,50.0,50.0,50.0,50.0,,,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0
The Globe and Mail,0.0,0.0,0.0,0.0,50.0,50.0,70.0,70.0,,,70.0,70.0,70.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0
The Guardian,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,,,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
The Hill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,30.0,30.0,30.0,70.0,70.0
The Hindu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,70.0,70.0,70.0,70.0
The Hollywood Reporter,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,,,30.0,30.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0
The Independent,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,,,50.0,50.0,50.0,50.0,50.0,50.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0
The Indian Express,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,,,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,75.0,75.0,75.0,75.0,75.0
